links,product_name,product_brand,product_type,product_rating,product_price,image_link
/master-chef-3-set-of-non-stick-pot-set-with-frying-pan-43183240.html,Master Chef 3 Set Of Non Stick Pot Set With Frying Pan ,Master Chef,Kitchen Bundle,3.4,"₦ 10,800",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/04/238134/1.jpg?9252
/spice-bedsheets-royal-beddings-pillow-cases-or-duvet-sets-black-red-66899249.html,"Spice Bedsheets Royal Beddings, Pillow Cases Or Duvet Sets - Black, Red",Spice Bedsheets,Bedspread & Coverlet Sets,5,"₦ 2,999 - ₦ 18,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/94/299866/1.jpg?1026
/century-8kg-twin-tub-washing-machine-8522a-8kg-wash-6kg-spin-42179157.html,"Century 8kg Twin Tub Washing Machine - 8522A (8kg Wash, 6kg Spin)",Century,Ironing & Laundry,4.3,"₦ 71,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/75/197124/1.jpg?7896
/generic-electric-multi-mini-cooker-59988822.html,Electric Multi Mini Cooker,,Cookers,4,"₦ 3,450",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/22/888995/1.jpg?7667
/generic-red-round-wall-clock-64429086.html, Red Round Wall Clock ,,Wall Clocks,2.3,"₦ 2,500",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/092446/1.jpg?0168
/generic-whisky-flask-cigarette-case-drinking-liquid-alcohol-hip-flask-45523261.html,Whisky Flask Cigarette Case Drinking Liquid Alcohol Hip Flask,,Water Bottles,5,"₦ 3,825",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/16/232554/1.jpg?4340
/generic-carving-pens-fondant-cake-decoration-pen-carved-flower-shaping-tools-64229057.html,Carving Pens Fondant Cake Decoration Pen Carved Flower Shaping Tools,,Cake & Cupcake Toppers,,₦ 350,https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/75/092246/1.jpg?6256
/anti-theft-security-travel-backpack-laptop-bag-with-usb-charging-port-generic-mpg1207162.html,Anti Theft Security Travel Backpack & Laptop Bag,,Backpacks,4.7,"₦ 9,000",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/47/256093/1.jpg?7085
/generic-2-tiers-stainless-steel-dish-rack-plate-rack-66942097.html,2 Tiers Stainless Steel Dish Rack/ Plate Rack,,Dish Racks,,"₦ 3,995",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/79/024966/1.jpg?5047
/generic-mackintoshrubber-bed-sheet-63564434.html,Mackintosh/Rubber Bed Sheet,,Bedding Accessories,4,"₦ 1,400 - ₦ 2,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/43/446536/1.jpg?1744
/generic-digital-personal-body-scale-47493486.html,Digital Personal Body Scale,,Digital,4.7,"₦ 4,650",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/68/439474/1.jpg?9595
/generic-diy-vase-flower-tree-crystal-arcylic-3d-wall-stickers-63236923.html,DIY Vase Flower Tree Crystal Arcylic 3D Wall Stickers,,Wall Stickers,1,"₦ 1,499",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/32/963236/1.jpg?2223
/generic-american-quality-bedsheet-with-pillow-cases-58264935.html,American Quality Bedsheet With  Pillow Cases,,Duvet Covers,2.8,"₦ 3,499",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/53/946285/1.jpg?9130
/generic-throw-pillow-brown-background-african-lady-64836577.html,THROW PILLOW BROWN BACKGROUND AFRICAN LADY,,Throw Pillows,,"₦ 3,420",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/77/563846/1.jpg?8226
/generic-half-body-female-mannequin-dress-formpadded-41026995.html,Half Body Female Mannequin Dress Form(padded),,Mannequins,4.6,"₦ 15,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/59/962014/1.jpg?3702
/drainage-and-sink-cleaner-cleandots-mpg1529950.html,CLEANDOTS Drainage And Sink Cleaner,CLEANDOTS,Household Cleaners,3.7,"₦ 2,900",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/31/923346/1.jpg?9765
/generic-non-stick-spoon-set-wooden-spoons-set-wooden-ewedudraw-meshing-broom-57054960.html,"Non Stick Spoon Set, Wooden Spoons Set & Wooden Ewedu/Draw Meshing Broom",,Tool & Gadget Sets,4,"₦ 2,999",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/06/945075/1.jpg?4280
/generic-decorative-cystal-cut-balls-with-bowl-multicolor-57132673.html,Decorative Cystal Cut Balls With Bowl - Multicolor,,Decorative Accessories,5,"₦ 7,950",https://ng.jumia.is/unsafe/fit-in/500x500/filters:fill(white)/product/37/623175/1.jpg?3085
